dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
1.3268448,1,1,1,8,0,3,1,1,0.3,0.2727,0.52,0.4179
1.318032,4,0,10,15,0,6,0,1,0.66,0.6212,0.39,0.0
1.3259808,1,1,1,23,0,0,0,1,0.26,0.2424,0.56,0.2537
1.2996288,1,0,3,6,0,3,1,2,0.24,0.2576,0.85,0.1045
1.3117248,3,0,7,20,0,3,1,1,0.76,0.6818,0.45,0.2239
1.3514688,4,1,10,0,0,1,1,3,0.44,0.4394,0.88,0.3582
1.3000608,1,0,3,11,0,1,1,1,0.36,0.3333,0.4,0.2537
1.310688,3,0,7,3,0,5,1,1,0.6,0.5909,0.73,0.194
1.3342752,2,1,4,17,0,5,1,1,0.56,0.5303,0.24,0.1642
1.3250304,1,0,12,0,0,3,1,1,0.32,0.3182,0.87,0.1642
1.333584,2,1,4,11,0,4,1,2,0.42,0.4242,0.38,0.2239
1.3483584,4,1,9,4,0,0,0,1,0.46,0.4545,0.55,0.2239
1.315872,3,0,9,15,0,2,1,1,0.74,0.6667,0.51,0.2985
1.296864,1,0,2,19,0,6,0,2,0.28,0.2424,0.93,0.4478
1.3565664,1,1,12,18,0,4,1,2,0.24,0.2273,0.6,0.2537
1.3489632,4,1,9,21,0,0,0,1,0.5,0.4848,0.68,0.0
1.327104,1,1,1,10,0,6,0,3,0.16,0.1515,0.93,0.2537
1.3202784,4,0,11,2,0,4,1,1,0.34,0.3333,0.76,0.1343
1.3114656,3,0,7,21,0,0,0,1,0.8,0.7879,0.63,0.1343
1.3190688,4,0,10,9,0,4,1,1,0.44,0.4394,0.67,0.5821
1.3567392,1,1,12,5,0,6,0,2,0.24,0.2424,0.75,0.0896
1.3273632,1,1,1,1,0,2,1,2,0.32,0.303,0.93,0.2537
1.3120704,3,0,7,11,0,0,0,1,0.86,0.7424,0.28,0.1642
1.2971232,1,0,2,2,0,2,1,2,0.26,0.2727,0.93,0.1045
1.3516416,4,1,10,23,0,3,1,1,0.36,0.3636,0.57,0.0896
1.3330656,2,1,3,9,0,5,1,1,0.34,0.3333,0.57,0.1642
1.3087008,3,0,6,14,0,3,1,2,0.82,0.7727,0.52,0.2836
1.3083552,2,0,6,16,0,6,0,2,0.76,0.697,0.52,0.2239
